2026-08-08T13:04:49.137843+00:00	TestProj	phase 02-entity	attempt 1	failed=min_length,ingest_contract,entities_parse	repaired
2026-08-13T00:41:10.871762+00:00	Yearn Finance	phase 04-technology	attempt 1	failed=no_junk,ingest_contract	no_improvement
2026-08-13T00:48:43.288413+00:00	Yearn Finance	phase 05-financial	attempt 1	failed=no_junk,ingest_contract	repaired
2026-08-13T00:53:33.341405+00:00	Yearn Finance	phase 06-token	attempt 1	failed=no_junk,ingest_contract	no_improvement
2026-08-13T01:12:02.414335+00:00	Yearn Finance	phase 07-ecosystem	attempt 1	failed=no_junk,ingest_contract	repaired
2026-08-13T01:14:12.859178+00:00	Yearn Finance	phase 08-market	attempt 1	failed=no_junk,ingest_contract	no_improvement
2026-08-13T01:25:29.402850+00:00	Yearn Finance	phase 09-behavioral	attempt 1	failed=ingest_contract	repaired
2026-08-13T01:50:12.139832+00:00	Yearn Finance	phase 10-knowledge	attempt 1	failed=knowledge_parse	repaired
2026-08-13T04:14:23.991818+00:00	zkSync	phase 01-foundation	attempt 1	failed=ingest_contract	repaired
2026-08-13T14:37:19.116756+00:00	Polkadot	phase 10-knowledge	attempt 1	failed=knowledge_parse	repaired
2026-08-13T16:59:27.491357+00:00	Sui	phase 01-foundation	attempt 1	failed=no_junk,min_length,ingest_contract	no_improvement
2026-08-13T17:05:21.492068+00:00	Sui	phase 02-entity	attempt 1	failed=no_junk,min_length,ingest_contract,entities_parse	repaired
2026-08-13T17:10:05.134098+00:00	Sui	phase 03-history	attempt 1	failed=no_junk,min_length,ingest_contract,events_parse	repaired
2026-08-13T17:29:44.509584+00:00	Sui	phase 05-financial	attempt 1	failed=no_junk,min_length,ingest_contract	repaired
2026-08-13T17:42:53.274892+00:00	Sui	phase 06-token	attempt 1	failed=no_junk,min_length,ingest_contract	repaired
2026-08-13T19:46:55.389797+00:00	Polygon	phase 01-foundation	attempt 1	failed=min_length,ingest_contract	repaired
2026-08-13T23:17:57.362244+00:00	Linea	phase 01-foundation	attempt 1	failed=no_junk,ingest_contract	no_improvement
2026-08-13T23:19:38.643045+00:00	Linea	phase 02-entity	attempt 1	failed=no_junk,ingest_contract,entities_parse	no_improvement
2026-08-13T23:23:13.174604+00:00	Linea	phase 03-history	attempt 1	failed=no_junk,ingest_contract,events_parse	repaired
2026-08-13T23:26:42.561976+00:00	Linea	phase 04-technology	attempt 1	failed=no_junk,ingest_contract	repaired
2026-08-13T23:28:29.247389+00:00	Linea	phase 05-financial	attempt 1	failed=no_junk,ingest_contract	no_improvement
2026-08-13T23:31:27.513075+00:00	Linea	phase 06-token	attempt 1	failed=no_junk,ingest_contract	repaired
2026-08-13T23:35:48.387297+00:00	Linea	phase 07-ecosystem	attempt 1	failed=no_junk,ingest_contract	repaired
2026-08-13T23:39:27.383919+00:00	Linea	phase 08-market	attempt 1	failed=no_junk,ingest_contract	repaired
2026-08-14T02:03:29.426145+00:00	Near	phase 01-foundation	attempt 1	failed=no_junk,ingest_contract	repaired
2026-08-14T06:04:56.775534+00:00	Curve	phase 01-foundation	attempt 1	failed=no_junk,min_length,ingest_contract	no_improvement
2026-08-14T06:10:49.883725+00:00	Curve	phase 02-entity	attempt 1	failed=no_junk,min_length,ingest_contract,entities_parse	no_improvement
2026-08-14T06:20:24.641010+00:00	Curve	phase 03-history	attempt 1	failed=no_junk,min_length,ingest_contract,events_parse	no_improvement
2026-08-14T06:32:58.347337+00:00	Curve	phase 04-technology	attempt 1	failed=no_junk,min_length,ingest_contract	partially_repaired
2026-08-14T06:34:47.267358+00:00	Curve	phase 04-technology	attempt 2	failed=no_junk,ingest_contract	repaired
2026-08-14T06:36:36.303496+00:00	Curve	phase 05-financial	attempt 1	failed=no_junk,min_length,ingest_contract	no_improvement
2026-08-14T06:41:08.881417+00:00	Curve	phase 06-token	attempt 1	failed=no_junk,min_length,ingest_contract	repaired
